case,model1_ts,model2_ts,ppl_diff,avgnll_diff,total_diff
Cli_40,20251218_075532,20251218_075543,0.029913881662785746,0.029295920041891244,0.05920980170467699
Collections_13,20251218_075532,20251218_075543,0.029796357213470737,0.028721009752254317,0.05851736696572506
Closure_117,20251218_075532,20251218_075543,0.02949238511614083,0.02878571007668091,0.05827809519282174
JacksonDatabind_70,20251218_075532,20251218_075543,0.028893962546953977,0.028382873033625796,0.05727683558057978
Jsoup_51,20251218_075532,20251218_075543,0.029078264377871532,0.02802156142309202,0.05709982580096355
Chart_6,20251218_075532,20251218_075543,0.02867310587666605,0.028077157315154463,0.05675026319182051
Collections_28,20251218_075532,20251218_075543,0.028563824387326964,0.027700195884994457,0.05626402027232142
Closure_176,20251218_075532,20251218_075543,0.028188420016741045,0.0276921672251842,0.055880587241925246
Closure_71,20251218_075532,20251218_075543,0.028095659275898077,0.027521480604351823,0.0556171398802499
Lang_9,20251218_075532,20251218_075543,0.027908653154366636,0.027329217598304013,0.05523787075267065
